;IN;OUT;MIN;MOUT;WIN;WOUT;GIN;GOUT;Passersby
11/10/2024 09:59;69;66;23;15;32;28;60;65;3550
11/10/2024 10:59;103;96;26;23;49;44;92;86;4907
11/10/2024 11:59;167;148;41;37;90;77;144;130;7932
11/10/2024 12:59;163;183;40;31;98;111;148;160;7918
11/10/2024 13:59;102;96;15;12;62;57;88;84;7067
11/10/2024 14:59;92;96;23;14;42;51;78;83;8794
11/10/2024 15:59;105;113;16;20;68;64;90;97;9894
11/10/2024 16:59;70;85;16;11;39;53;64;76;9587
11/10/2024 17:59;65;72;10;12;37;40;55;68;7931
11/10/2024 18:59;23;50;2;9;12;25;20;38;4327
11/10/2024 19:59;0;0;0;0;0;0;0;0;2545
11/10/2024 20:59;0;0;0;0;0;0;0;0;1652
11/10/2024 21:59;0;0;0;0;0;0;0;0;1067
11/10/2024 22:59;0;0;0;0;0;0;0;0;1047
11/10/2024 23:59;0;0;0;0;0;0;0;0;446
12/10/2024 00:59;0;0;0;0;0;0;0;0;189
12/10/2024 01:59;0;0;0;0;0;0;0;0;117
12/10/2024 02:59;0;0;0;0;0;0;0;0;56
12/10/2024 03:59;0;0;0;0;0;0;0;0;54
12/10/2024 04:59;0;0;0;0;0;0;0;0;103
12/10/2024 05:59;0;0;0;0;0;0;0;0;195
12/10/2024 06:59;0;0;0;0;0;0;0;0;348
12/10/2024 07:59;16;13;2;2;7;6;15;12;804
12/10/2024 08:59;77;58;15;6;46;30;71;47;1735
12/10/2024 09:59;100;89;25;16;40;40;85;84;3417
12/10/2024 10:59;104;89;21;17;54;45;90;78;5588
12/10/2024 11:59;154;137;27;22;81;72;127;115;7095
12/10/2024 12:59;171;176;39;32;101;90;143;141;9028
12/10/2024 13:59;162;176;33;34;90;92;134;142;10691
12/10/2024 14:59;158;145;34;23;83;80;131;121;10710
12/10/2024 15:59;162;149;23;18;95;81;134;124;10495
12/10/2024 16:59;136;179;23;25;65;93;110;140;10029
12/10/2024 17:59;82;102;17;20;40;48;66;88;9595
12/10/2024 18:59;26;42;3;7;12;23;21;38;4009
12/10/2024 19:59;0;1;0;1;0;0;0;1;2412
12/10/2024 20:59;0;1;0;0;0;0;0;1;1378
12/10/2024 21:59;0;0;0;0;0;0;0;0;1140
12/10/2024 22:59;0;0;0;0;0;0;0;0;640
12/10/2024 23:59;0;0;0;0;0;0;0;0;261
13/10/2024 00:59;0;0;0;0;0;0;0;0;265
13/10/2024 01:59;0;0;0;0;0;0;0;0;104
13/10/2024 02:59;0;0;0;0;0;0;0;0;53
13/10/2024 03:59;0;0;0;0;0;0;0;0;43
13/10/2024 04:59;0;0;0;0;0;0;0;0;81
13/10/2024 05:59;0;0;0;0;0;0;0;0;116
13/10/2024 06:59;0;0;0;0;0;0;0;0;125
13/10/2024 07:59;0;0;0;0;0;0;0;0;309
13/10/2024 08:59;20;9;5;2;7;3;18;9;774
13/10/2024 09:59;43;39;13;9;17;19;38;34;1205
13/10/2024 10:59;48;52;12;11;24;23;41;48;1665
13/10/2024 11:59;44;44;15;7;17;14;38;37;1984
13/10/2024 12:59;55;55;9;8;28;29;50;46;2240
13/10/2024 13:59;58;48;12;5;28;25;48;40;2325
13/10/2024 14:59;60;72;21;10;22;31;56;61;2599
13/10/2024 15:59;21;38;7;8;10;15;19;34;2308
13/10/2024 16:59;0;0;0;0;0;0;0;0;1912
13/10/2024 17:59;0;0;0;0;0;0;0;0;2006
13/10/2024 18:59;0;0;0;0;0;0;0;0;1551
13/10/2024 19:59;0;0;0;0;0;0;0;0;1035
